word1,word2,count
украсть,слово,1
слово,украсть,1
украсть,корова,1
любой,сколько,1
сколько,в,1
в,слово,1
слово,буква,1
буква,и,1
и,какой,1
лететь,лебёдушка,1
лететь,собака,1
стая,совсем,1
совсем,небольшой,1
стая,сорок,1
сорок,и,1
и,ещё,1
ещё,сорок,1
сорок,сколько,1
сколько,сорок,1
сорок,лететь,1
лететь,на,1
на,восток,1
есть,помпончик,1
пончик,сколь,1
сколь,пончик,1
дракончик,сколько,1
пончик,жевать,1
жевать,дракончик,1
и,жевать,1
сколько,же,1
же,пончик,1
дракончик,собирать,1
собирать,пончик,1
лететь,дракончикиель,1
дракончикиель,пончик,1
пончик,сьель,1
сьель,дракончик,1
дракон,есть,1
есть,батон,1
батон,сколько,1
сколько,батон,1
батон,съесть,1
котик,принимать,1
принимать,наркотик,1
котик,употреблять,1
употреблять,наркотик,1
над,озеп,1
озеп,они,1
озеро,из,1
из,быть,1
озеро,они,1
лететь,летести,1
лететь,утка,1
на,золото,1
золото,крыльцо,1
крыльцо,сидеть,1
сидеть,царь,1
царь,царевич,1
царевич,король,1
король,королевич,1
королевич,сапожник,1
сапожник,портной,1
портной,кто,1
кто,ты,1
ты,быть,1
быть,такой,1
такой,выбирать,1
выбирать,скорый,1
скорый,не,1
не,задерживать,1
задерживать,честной,1
честной,и,1
и,добрый,1
добрый,человек,1
калатушкин,под,1
лететь,дурак,1
дурак,есть,1
есть,башмак,1
башмак,какой,1
какой,башмак,1
башмак,есть,1
есть,дурак,1
обезьяна,чичича,1
и,вдруг,1
вдруг,плюнуть,1
плюнуть,слово,1
слово,это,1
это,слово,1
слово,быть,1
и,они,1
лебедь,они,1
сегодня,я,1
я,хотеть,1
хотеть,затронуть,1
затронуть,тема,1
слон,лететь,1
лететь,в,1
в,небо,1
небо,считать,1
считать,число,1
танцевать,балерина,1
балерина,в,1
в,большой,1
большой,театр,1
театр,упасть,1
упасть,сказать,1
улица,под,1
дом,колотушка,1
колотушка,на,1
на,квартира,1
колотушкин,номер,1
номер,дом,1
дом,сказать,1
сказать,ты,1
дом,покатушкин,1
покатушкин,квартира,1
улица,пушкинад,1
пушкинад,калатушкин,1
хотеть,вы,1
вы,представить,1
представить,презентация,1
презентация,проект,1
проект,о,1
шëл,крокодил,1
трубка,пропасть,1
пропасть,и,1
идти,ворона,1
по,поле,1
поле,и,1
слово,далёкий,1
далёкий,по,1
по,буква,1
корова,съесть,1
съесть,слово,1
идти,кошка,1
кошка,по,1
по,дорога,1
дорога,и,1
идти,машина,1
машина,тёмный,1
тёмный,лес,1
лес,за,1
за,какой-то,1
какой-то,интерес,1
интерес,интеинтеинтерес,1
интеинтеинтерес,выходить,1
с,буква,1
с,нехороший,1
нехороший,выходить,1
выходить,а,1
а,буква,1
широта,буква,1
широта,уйти,1
уйти,в,1
в,кино,1
кино,выходить,1
собака,жевать,1
жевать,жевак,1
жевак,какой,1
какой,жевак,1
жевак,жевать,1
жевать,собака,1
по,артек,1
артек,и,1
цифра,этот,1
бульвар,и,1
нажать,цифра,1
и,считать,1
по,шоссе,1
шоссе,и,1
собачка,по,1
рояль,жевать,1
идти,почтальон,1
почтальон,нести,1
нести,почта,1
почта,в,1
в,дом,1
дом,номер,1
